data,municipio,1a_dose,2a_dose,aplicadas_dia,total_doses,doses_recebidas,perc_aplicadas,perc_vacinadas_1a_dose,perc_vacinadas_2a_dose,populacao
12/02/2021,BARRA DO CHAPEU,115,,,,,,2.079566003616637,,5530.0
12/02/2021,BARRA DO TURVO,437,,,,,,5.684922596591648,,7687.0
12/02/2021,BARRETOS,8180,,,,,,6.929384657088641,,118048.0
12/02/2021,BARRINHA,555,,,,,,1.7162471395881007,,32338.0
12/02/2021,BARUERI,9892,,,,,,3.7414425659064254,,264390.0
12/02/2021,BASTOS,572,,,,,,2.817595192355056,,20301.0
12/02/2021,BATATAIS,1196,,,,,,1.9859851881372257,,60222.0
12/02/2021,BAURU,17349,,,,,,4.763264465646235,,364225.0
12/02/2021,BEBEDOURO,2786,,,,,,3.75699548243544,,74155.0
12/02/2021,BENTO DE ABREU,91,,,,,,3.089983022071307,,2945.0
12/02/2021,BERNARDINO DE CAMPOS,463,,,,,,4.292203578381385,,10787.0
12/02/2021,BERTIOGA,1248,,,,,,1.971875493758888,,63290.0
12/02/2021,BILAC,347,,,,,,4.439611054247697,,7816.0
12/02/2021,BIRIGUI,2254,,,,,,1.857758656215744,,121329.0
12/02/2021,BIRITIBA-MIRIM,600,,,,,,,,
12/02/2021,BOA ESPERANCA DO SUL,414,,,,,,2.8391167192429023,,14582.0
12/02/2021,BOCAINA,461,,,,,,3.798928718582612,,12135.0
12/02/2021,BOFETE,207,,,,,,1.868905742145179,,11076.0
12/02/2021,BOITUVA,1108,,,,,,1.9339523842770368,,57292.0
12/02/2021,BOM JESUS DOS PERDOES,435,,,,,,1.790786711127578,,24291.0
12/02/2021,BOM SUCESSO DE ITARARE,103,,,,,,2.667702667702668,,3861.0
12/02/2021,BORA,60,,,,,,7.389162561576355,,812.0
12/02/2021,BORACEIA,162,,,,,,3.404076486656861,,4759.0
12/02/2021,BORBOREMA,592,,,,,,3.863473210206879,,15323.0
12/02/2021,BOREBI,76,,,,,,2.9468786351298952,,2579.0
12/02/2021,BOTUCATU,10640,,,,,,7.538881213022992,,141135.0
12/02/2021,BRAGANCA PAULISTA,7057,,,,,,4.303573606537383,,163980.0
12/02/2021,BRAUNA,272,,,,,,4.899135446685879,,5552.0
12/02/2021,BREJO ALEGRE,111,,,,,,4.010115606936416,,2768.0
12/02/2021,BRODOWSKI,828,,,,,,3.45821325648415,,23943.0
12/02/2021,BROTAS,594,,,,,,2.490566037735849,,23850.0
12/02/2021,BURI,347,,,,,,1.7633905884744383,,19678.0
12/02/2021,BURITAMA,737,,,,,,4.440829115449506,,16596.0
12/02/2021,BURITIZAL,246,,,,,,5.711632226607848,,4307.0
12/02/2021,CABRALIA PAULISTA,154,,,,,,3.574744661095636,,4308.0
12/02/2021,CABREUVA,24,,,,,,0.0485535100141614,,49430.0
12/02/2021,CACAPAVA,2347,,,,,,2.572985298792988,,91217.0
12/02/2021,CACHOEIRA PAULISTA,1032,,,,,,3.201886382675064,,32231.0
